Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words I considered important was difficult.",Why?,Please briefly describe your process for selecting the words you considered important.,What characteristics of a word or phrase made you select a particular word as important?,"Think about a case where you considered selecting a particular word as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words as important.","What, if anything, could have been more clear about the instructions you were given for selecting words as important?",Please briefly describe the order in which you selected the words you considered important.,"Please respond to the following statement:When selecting words that I considered important, I selected only words that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Start Date,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-07 17:16:05,Disagree,"Only one of the reviews wasn't obviously positive or negative, and that was the one Scorcese did about making movies. Otherwise, it was obvious almost immediately wether someone hated or loved it. ","They straight up said it was bad, or described in detail what was bad about it. Or, both.","The tone of the review as a whole. Most came out and said ""great"" or ""bad"" or synonyms. ","Nothing. I think it was 100% clear instructions right off the bat. In fact, it was so clear that I thought most reviews were going to be more ambiguous. ",Worked perfectly for me. ,,,,,,,,,,,Somewhat agree,A LOT of the words show the positivity / negativity. It's hard to pin point words when the entire tone of the review is generally good or bad. ,"I went with the most striking, direct words, or for the phrases that blatantly called out good / bad. ","The severity to which I read it, the severity of the words / phrases themselves, or just what I perceived to be the keywords. ","I chose not to choose words that were strung together over and over. 1 review in particular had several sentences in a row that were all about different negative aspects of the film, and I thought it would be overboard to select them all. ","I suppose if you're looking more for single, particular keywords, or phrases overall. ",I just clicked on the words that confirmed my thoughts as I read through the review. No particular order except chronologically. ,Somewhat disagree,Because it's the way people used the words in conjunction with the idea of their sentence that really decides what I highlighted. ,I'd say allow the click and dragging so that you can highlight full phrases or sentences. ,25 - 34,Man,,,,Hispanic or Latine,,,White or Caucasian,,,,"Some college credit, no degree",,I don’t know,I don’t know,Yes,,11518,2021-09-07 16:50:48,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:16:57,Strongly disagree,"there were random words put before in capitals to trick the reader, but if you really paid attention, it was an easy read...",carefully reading and not just looking at the keywords,everything,nothing else was needed,none,Somewhat disagree,some words were together and i didn't know if i could select them together.. or else it would not have made sense.,just the passage in general and the vocabs that stood out,nothing stood out. the caps were grabbing unnecessary attention ,if it didn't make sense in that review.,everything was fine.,i went from top-down and skim read it the second time since i already knew which words i was going to click since i read it fully the first time around.,Neither agree nor disagree,that question doesn't make sense.,none.,,,,,,,,,,,18 - 24,Woman,,Asian,,,,,,,,,Bachelor's degree,,No,No,No,"Nothing, thank you. Good luck.",46115,2021-09-07 16:51:30,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:18:10,Disagree,"Most of the reviews were very clear about whether the reviewer liked or disliked the film. However, I think two of the reviews were fairly neutral. These could have went either way and required a bit of thought.","In most cases it was completely obvious just by reading the review. In the cases of the neutral reviews, I looked for small details that could be considered good or bad and weighed them against each other to make this determination.",I focused on the language the reviewer used and they made it obvious in most cases. For the more neutral reviews I examined specific details they mentioned that could be considered positive or negative.,"I thought it was pretty straightforward. If I had to pick something though, I would say the instructions could have been more clear about what positive or negative means. Does it mean positive/negative from the reviewers point of view or postive/negative from the general public's point of view. For instance, some reviewers may consider some things positive that the general public would consider negative.",The highlighting was a bit wonky to use. I used the dragging method to highlight everything. I think once or twice it didn't work and not being able to see what you are highlighting as you are dragging (you only see the highlighted when you finish dragging) makes it slightly difficult. This was not a big issue though and it did not have a significant impact.,Somewhat agree,I wasn't quite sure what phrases would be considered important.,I tried to select the most relevant and clear cut positive/negative words. Words that anyone would look at and see as positive/negative.,"If the word made a strong statement that others would clearly recognize as positive or negative then I selected it. However, if I already selected a similar word/phrase I did not select it again generally.","If a word/phrase was similar to another word/phrase I already selected then I would often choose to not highlight it. Also, if it was not clear that the word/phrase was positive or negative then I did not select it.","I thought the instructions were fine. However, a better explanation of what words and phrases should be considered important could be helpful in some cases.",I highlighted words/phrases starting from the beginning of the review until the end.,Agree,"I thought it would be important to highlight words that objectively showed the reviews were positive/negative. Due to this, the words/phrases should also have the same impact if they were in other reviews.","No issues other than what I already mentioned previously with using the dragging method to highlight. Not a big issue, but it was slightly wonky to use.",,,,,,,,,,,25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,22674,2021-09-07 16:51:07,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:18:10,Strongly disagree,The descriptions were described good enough to know that it is negative or positive.,How the person describes what the movie is like.,I looked for words that could seem negative or positive.,The instructions were clear enough nothing needed to be changed.,"There is nothing that I think needs to be changed, I had no issues or errors.",,,,,,,,,,,,,,,,,,,,,18 - 24,Woman,,,Black or African American,,,,,,,,"Some college credit, no degree",,Yes,No,Yes,No.,24466,2021-09-07 16:50:45,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:18:12,Strongly disagree,Most were very straight forward as to whether it was positive or negative.,If they said good things about the movie it was positive.  If they said bad things it was negative.  You can have a positive movie with some criticism in the review.,The adjectives used.,The instructions were very clear.,Nothing,,,,,,,,,,,Strongly disagree,It was easy to pick the words that expressed negativity about the films. ,The ones that had a negative connotation to talk about the movie.,If was relevant to the overall theme of the review.,Some words were part of a phrase that on their own would not indicate bad or good.,Nothing.,I went through the review line by line and chose the words as I reread the review.,Somewhat agree,Some words like horrible are universal for meaning bad.  Other words need context to be understood as negative. ,None,35 - 44,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,None,51817,2021-09-07 16:50:46,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:19:30,Strongly disagree,All the reviews accept the Scorcese one (which wasn't really a film review) seemed obviously positive or negative from the start.,The tone of the writing plus the positive and negative words used,The tone of the writing and the specific positive and negative words that were written,The instructions were very clear. The only vague thing before seeing it for real was quite how I would highlight the specific words and phrases in the text,"Maybe, a quick example review using the same method just so you can see how you highlight the text. The example page wasn't totally clear to me as it didn't let you select them for real on the page properly.",Strongly disagree,The postives and negatives seemed easy to pick. The hardest bit was maybe deciding how much to select on the very long reviews.,Picking out the specific phrases which were positive or negative. This seemed easy to do for all 10 reviews. Only the Scorsese one wasn't easy and that wasn't really a review and more just describing what he said.,The tone of the phrase and the context it was in as well as the specific words.,I only did this on the very long reviews and maybe limited not picking the more minor positives and negatives when I had already selected many other more positive/negative phrases and words in the review,The instructions were totally clear here.,I just went through in order reading the review and selecting all the postives/negatives as I went along.,Neither agree nor disagree,I don't really understand this question.,The interface was perfectly good and doesn't need to be improved.,,,,,,,,,,,45 - 54,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,Yes,Yes,I don't directly have expertise in machine learning (I specialise in data and modelling) but I know a lot about it and am very interested in it.,63620,2021-09-07 16:50:41,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:19:52,Somewhat disagree,there was only one or two which weren't particularly leaning very strongly in either direction,"fairly straightforward just from reading the adjectives in particular, and also the tone in which it was written","mainly the descriptive elements, but also whether there were emotional influences, e.g. reminding of childhood etc","not much, very straightforward!","could do with being able to swipe across phrases rather than clicking on each word but very minor issue, if one at all",,,,,,,,,,,Somewhat disagree,again it was fairly obvious from what was written,"the ones that provided the most description, and that were overtly positive or negative in tone","where it was unambiguous, descriptive and provided an opinion","where i'd probably selected too many, or would have ended up selecting an entire sentence, or where i was unnecessarily repeating the same word used elsewhere","nothing again, all good.",in sequential order as i was re-reading it.,Neither agree nor disagree,"it's not something that would cross my mind, so may or may not have inadvertently been selected.","nothing, all good",35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,all good thanks!,80161,2021-09-07 16:50:43,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,23
2021-09-07 17:20:30,Strongly disagree,I could often tell from the first few sentences whether a review was positive or negative. The reviewer was often straight to the point and very descriptive.,I attempted to find keywords or common phrases that typically appear in a positive or negative review. I would read the review through entirely to see their overall opinions and thoughts.,Overall opinions and keywords. Does the reviewer recommend the film or not? Did they enjoy watching the film? Did they enjoy the story? etc.,Nothing. The instructions were clear and logical.,No issues.,Disagree,Most descriptive words when used to describe something as positive or negative are easily identifiable.,Descriptive or persuasive words that the reviewer is using with conviction to convince a reader why the movie is good or bad.,"Persuasive, detailed statements.",There were a couple of phrases that had negative intent - but were not specific or were too opinion-based.,Nothing.,"Reading the review from top to bottom. Highlighting all key, important words as the review went on.",Somewhat agree,"Most common, important words used to describe a film can often be used in conjunction with any film. However, there were a few selections that described the movie in review and were highly detailed to the point that they could not be used for other films.",Nothing.,,,,,,,,,,,18 - 24,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,60774,2021-09-07 16:51:08,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:20:39,Strongly disagree,most reviews were clearly obvious to the reviews opinion negaitive/positive,"wether postive or negative comments were used! ie terrible, boring or ecellent, engaging",the descriptib=ve words as ive shown abnove,nothing - all good,n/a,Disagree,i picked out the positive/negative comments of the reviewer,? i can tell a postive comment from a negative one,"emotive comments/words such as good/bad, engaging/boring",they werent as strong as other words inemotion,n/a,the 'strenght' of the word to determine good/bad rating,Strongly agree,"because most people can determine that a desciption of good is not 'as good' as a word such as excellent, superb, outstanding etc",n/a,,,,,,,,,,,45 - 54,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,64715,2021-09-07 16:51:06,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,22
2021-09-07 17:20:48,Disagree,it was straightforward,i would look out for adjectives first ,adjectives,nothing,i dont feel as though anything should be improved,Neither agree nor disagree,i didnt find this easy or difficult,again look for adjectives,the type of word,if i had already highlighted the same word,i feel the instructions were clear,whether it related to positivity or negativity,Somewhat disagree,i feel i didn't do this,it was clearly well written and understood,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,I don’t know,Yes,thank you,39581,2021-09-07 16:56:10,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,Tapping the words if your computer is touchscreen.,22
2021-09-07 17:20:51,Disagree,There were clear words to say so in most of them,Looking for key words in each ,The words,Nothing,Nothing,Neither agree nor disagree,Sometimes you could just tell it was one way or another and then had to find the specific words,By checking for key words,Ones that fit the theme,I didnt,Nothing,I just scanned the words,Disagree,I took each review on its own merit,Nothing,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,76195,2021-09-07 16:50:29,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,Tapping the words if your computer is touchscreen.,20
2021-09-07 17:22:07,Disagree,All but one of the reviews seemed to be obviously positive or negative.,I used the tone and content of the review,"the words used, the strength/stridency of the comments",nothing - no problem,nothing,Disagree,It was fairly easy to select the words or phrases that I thought justified my decision.  My only concern was that I may have selected too much,"I selected things that were more specific, on beyond the general ""I loved it"" or ""I hated it""",When it gave a reason for the sentiment being expressed,can't think of any,nothing - instructions were fine,I just selected them in the order that they appeared in the reviews,Neither agree nor disagree,"Sometimes I did this, but I also thought that specific people's names and how well they did their jobs was important",nothing that I can think of,,,,,,,,,,,65+,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,30881,2021-09-07 16:50:56,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:22:36,Disagree,Most reviewers were clear with regards to how they felt about the movie.,I checked the words and viewed the diction to gauge the moods of the reviews.,I checked what kinds of words were used and how reviews ended.,It was pretty obvious to me what the task was.,I encountered no errors but perhaps the confidence and labeling portions could be on the same page to save time.,,,,,,,,,,,Somewhat disagree,For the most parts the words used were common words so I did not have to analyze much.,I checked the connotations of the words used in context of the review.,Whether or not they are positive or negative words.,Some words seemed somewhat important but did not change the overall review.,The instructions were clear enough.,"I went line by line, sentence by sentence. in order of reading the text.",Agree,The words needed to be universally good or bad as stated in the instructions.,"They were mostly fine, but the main user interface was a bit big on my screen; perhaps it should be smaller.",18 - 24,Man,,Asian,,,,,,,,,"Some college credit, no degree",,Yes,No,Yes,N/A,67698,2021-09-07 16:53:59,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:22:38,Somewhat disagree,most of the reviews were not difficult,I read the text and acted as I thought,I focused on all of them in general and made this decision.,I think it was very clear and understandable,"Frankly, I found it sufficient. I guess that's good enough",Somewhat disagree,i think it was easy,I made decisions about the text in general.,basic positive and negative word contents,when I choose as many words as necessary. when I don't trust that word enough,I think the instructions are sufficient and clear,I often chose from the beginning of the paragraph to the end,Somewhat agree,to be more understandable,it was good enough,,,,,,,,,,,18 - 24,Man,,Asian,,,,,,,,,Bachelor's degree,,Yes,Yes,Yes,no.,40880,2021-09-07 16:50:26,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:22:46,Disagree,"if the review was positive it would have positive word about the film- love it, great etc
negative review words would be words- awful horrible bad etc

just from reading the text you could get a feel for the way the reviews where positive or negative.",I would read the text and you could normally tell fairly quick if the review was going to positive or negative.  Again the word and descriptions of the film would come across in either way.  ,"I would read the text as a whole and then deicide if negative or postitive, but you could usually tell within  the first or second sentence.",Nothing the instructions where really clear and easy to follow,Had no issues was all really good.,,,,,,,,,,,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,"Was really clear and easy study to follow.
good luck with your research ",56432,2021-09-07 16:51:12,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:23:06,Disagree,In the majority of cases there was a fairly clear sentiment underlying the review. ,"In most cases I read the review and positive/negative words jumped out at me straight away. Sometimes there were conflicting sentiments, or the review seemed more objective rather than a personal opinion, so I tried to look for what the reviewer seemed to put most weight on.","I probably picked out adjectives more than anything, and if the review was long I think I focused more on the beginning and the end.",Nothing,Nothing,Disagree,In most cases there were fairly obviously positive or negative words.,"Generally, I picked strong adjectives. I considered which words would influence me to watch or not watch the film.",If it was indicative of strong emotion.,"Sometimes words were repeated, so I didn't choose them every time they appeared. Sometimes positive or negative words were not directly to do with the film itself - for example, they could be to do with associated memories for the reviewer.",Nothing,"If the review was short, I think I generally selected the words in the order they appeared. If it was longer and/or more complex, I'd be more likely to go back and forth, trying to find obvious ones first then seeing if I'd missed anything that I thought was important.",Somewhat disagree,"While some words, like ""marvellous"" or ""torture"" I would have selected in any positive or negative review respectively, I think there were a few words or phrases that seemed comparatively positive or negative in the context of a more muted review that I wouldn't have picked as good examples in a review that was more dramatic.",Nothing,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,63616,2021-09-07 16:50:43,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,22
2021-09-07 17:23:27,Somewhat disagree,Most of them were pretty obvoius although there was 1 or 2 that was more just a description of the film with very few opinionated words.,I would scan through the review looking for positive and negative words. I would then decide if the overall opinion of the author was positive or negative.,Most of the reviews had a strong opinion in the first line or two.,I only labeled single words as I wasn't sure if I was allowed to select short phrases.,The user interface was very good.,,,,,,,,,,,Somewhat disagree,"Again most of them were pretty obvious with words like ""Love"" or ""Hate"" but sometimes there wasn't much emotive words to justify my selection.",I would look for the main positive or negative words. I would try to make sure they made sense as a single word.,If the word matched the positive or negative selection of the first question. ,"On some of the longer reviews I maybe could have selected more words or sometimes a word, although negative wouldn't really make sense on it's own. (only positive or negative as part of a phrase)","Again, is it only single words or can short phrases be selected.","I would start at the beginning of the review and read through it, highlighting words as I go. I would then review my selections and make any changes before submitting.",Agree,That made the most sense given the instructions.,All good.,25 - 34,Man,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,No,Yes,,77599,2021-09-07 16:50:47,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:23:42,Disagree,most were very obvious in their opinions except for the martin Scorsese ,"read the whole description a couple of times, try to get the general feel for the review ",choice of words ,"nothing, it was very clear",no problems encountered ,Strongly disagree,"very straightforward, just click on the positive or negative words/phrases ",I went for the ones that really summed up how the reviewer felt. ,words and phrases that are powerful and stand out. ,if I thought they were a little ambiguous ,nothing. It was very clear.,I chose the words/phrases that were most powerful first.  ,Strongly agree,As to avoid confusion ,No errors encountered. ,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,74430,2021-09-07 16:50:39,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,22
2021-09-07 17:24:29,Somewhat disagree,Some of the reviews were more complex to discern in their intent as the language was very thick and they seemed to be giving mixed messages or at least unclear messages. The reviews that were simpler were in the main though and these were very easy to say positive or negative regards.,The main thrust of the text i.e. if reviewer seemed pleased with film or not and the positivity or otherwise of some of the descriptive words used.,The whole review but only those parts that were directly related to the ffilm not those parts that went of on a tangent.,I think only how many of the words were to be highlighted and what sort i.e. just the descriptive words or what they were describing too (i.e. chuck norris was bad or just bad),No issue wiith interface all went well thank you.,,,,,,,,,,,Somewhat agree,I did not know how many words to select and which words were more important that others (i.e. select very bad or just bad) and whether to select them in context,I would go for the most obvious but (perhaps unneeded) would try to relate them in context to an actor or part of the film or simply level i.e. quite bad or very bad (though very bad or even just bad on it's own would probally have been sufficient.),How definate and clear it was and it it was clearly related to the film in some context.,Quite annoying I just chose annoying as annoying in any context is going to be seen as negative so quite was not needed in this context.,"I think whether to take a minimal approach i.e. just choose words like bad, poor and ignore words like very or quite and whether to put in context i.e. if related to plot or a particular actor.",I started from top left to bottom right picking out those words that most stood out in a positive or negative context sometimes backtracking to add a extra descriptor (like very) or put in context by relating to an aspect of the film or an actor.,Agree,These were the words that would seem most strong in placing the movie in a positive or negative context and if well used there is a reason behind that which is that t hey are highly suitable.,I found the interface fine with no issue. Thanks,45 - 54,Man,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,No,Yes,Interesting survey thank you,80549,2021-09-07 16:51:29,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:24:50,Disagree,Most of the reviews were pretty clear in their opinions of the films. Some were more factual than opinionated which made them slightly harder to determine.,I thought about how the review made me feel towards the film from the things the writer told me.,Whether the actors and plots were portrayed in a positive or negative way. The way the writer said they reacted to watching the film.,-,-,Somewhat disagree,"It was mostly clear which phrases carried positive or negative connotations, but I had some trouble deciding whether to select key words or whole sentences.",I selected the parts which I felt had the most positive/negative emotion.,When a word/phrase carried a lot of emotion or felt particularly persuasive.,I considered the word/phrase because I felt it was persuading me to think positively/negatively towards the film. On second thought I did not choose it because it would be neither positive or negative if taken out of the context of that particular positive or negative review.,-,"I selected the words and phrases as I read the review, and then reread it and selected any I had missed.",Strongly agree,Some of the phrases could have been neutral if I weren't already biased by the review so I tried not to select them.,-,,,,,,,,,,,18 - 24,Non-binary,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,51769,2021-09-07 16:50:33,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,22
2021-09-07 17:25:36,Disagree,It was fairly easy to work out the intentions of the reviewer.,I determined whether a review was positive or negative by the type of language used.,I focused on the reviewers feelings towards the film to gather if they were giving a positive or negative review.,The instructions for labelling movie reviews as positive or negative were already clear and easy to understand.,The dragging to highlight words or phrases was a little clunky.,Somewhat disagree,Select the words was fairly easy to judge as they were fairly clear in being positive or negative.,I selected words or phrases depending on how strongly they appeared to be negative or positive.,The reviewers choice of positive or negative phrases or words made me select them.,"I tended to avoid words that were specific about an actor or crew member as the reviewer may be prejudiced against them, for reasons that may not relate to the film being reviewed.",The instructions were already clear and easy to understand.,I selected the words or phrases I considered important by reading from the start of the review and working my way done to the end of the review.,Somewhat disagree,I chose words depending on how I felt they related to the review I was currently reading.,I found the interfaces easy to understand and did not encounter any issues.,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,Yes,Yes,,83361,2021-09-07 16:50:48,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:25:39,Disagree,Most reviews were heavily swayed one way or another so it was pretty obvious. A couple were more ambiguous but as they didn't say anything particularly negative I classed them as positive.,My decision was mostly made on the language and emotions conveyed by it. Most reviews were detailed with enough emotion to determine the reviewer's feelings towards the movie.,Whether they described liking the film or not overall depending on their feelings towards individual parts of it.,Nothing comes to mind.,Nothing comes to mind. Everything was very clear and functioned well enough.,,,,,,,,,,,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,Nothing to add thanks. Hope I helped.,97031,2021-09-07 16:50:49,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:26:26,Somewhat disagree,It was mostly very easy after reading the review.,Reading the review and looking to see how the author felt.,I focused on the key words about the movie.,It was all clear and easy to understand.,Nothing could be improved and I had no errors.,,,,,,,,,,,Strongly disagree,It was easy to find the important words.,I read the review and selected them.,The words from the author that told me they liked or disliked the movie.,"I chose not to pick the word, as it could mean good or bad, and it might confuse the algorithm bot.",Nothing more was needed.,I picked them based on how strong they were.,Strongly agree,So it wouldn't confuse the robot.,It was fine the way it was.,25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,69856,2021-09-07 16:50:36,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
