Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-20 09:51:24,Disagree,"For the most part it was very apparent. There was one that had an out of place phrase at the end that made me question my selection, but only briefly.",It was generally very clear from the wording.,Actual opinions in the reviews about the movie itself.,More definition around how much to include in the highlighted phrases.,Disagree,It seemed clear which words and phrases were either positive or negative.,I highlighted the words or phrases that reinforced the positive or negative nature of the review.,"if it was clearly either positive or negative and not ambiguous. Also, that it related to the movie itself.",I believe I did not highlight in one or two cases when the particular word needed more context to show positivity or negativity.,Already answered above.,start of the review to end,Agree,I suppose that would indicate they more clearly identified the positive or negative nature of the review.,NA,45 - 54,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,98453,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-20 09:52:17,Strongly disagree,The key words in the reviews made it fairly obvious what the author's thoughts on the films was. Even the the more neutral reviews. ,"I looked for words such as ""good"" or ""bad"" and other such positive and negative descriptors. In the case of more neutral reviews, I looked to see if the author ended with opining that the movie is worth watching. ","I focused on the description of: the movie, the production value, the acting, and direction, as opposed to parts regarding the plot of the films.","One thing could have been that their would be some reviews that more so fit into a positive or negative categorization, but that the review is fairly neutral. ",Disagree,A lot of the wording and phrases were common descriptors of positive and negative connotations. So they were easy to identify. ,"Words that said ""good"" or ""bad"" or ""stinks"" etc. and that were used to describe an attribute of the film itself, . ",The more partial the word was the more so I deemed it important. ,"Sometimes partial wording was used,  however in a different context than just simply describing the film. I also skipped over descriptors if they were already used by the author earlier in the review. ","If phrases were more important/necessary than simply one word clicks. More context could be given by selecting phrases, but that could mean a good portion over 20 percent of the review is highlighted. ","I selected the words I described in chronological order. Other than that, I didn't pay any mind to whether one word panned or praised the film more than the other. If I had to cut anything it would be the neutral words in the phrasing. ",Strongly disagree,"Because contextually, the words being used by an author in one review may be completely different than what an author intended in another review. ","The interface worked really well. Nitpicking, I will say when highlighting phrases, have some sort of indicator as to what you are highlighting would be handy. ",25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,All good. Thanks!,42703,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 09:55:05,Somewhat agree,One of the reviews was clearly a review of a director and didn't specifically say it hated or liked the movie.,I read and came up with a general consensus on whether it was positive or negative,the positive or negative words or phrases,`I don't think anything could have been more clear.,Strongly agree,Negative words were easy to pick out,I looked for positive or negative words to indicate whether it was a positive or negative review,Whether a word or phrase itself was negative or positive,I didn't have that experience,"it was all clear
",I read the review and then picked out the words or phrases,Disagree,I wasn't considering other reviews when reviewing each review.,Nothing,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,27132,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 09:55:07,Disagree,Most reviews were pretty clearly for or against a movie,I read the review and looked for how the author described the movie,"generally the adjectives used to describe components like plot, action, or characters was enough to identify a positive or negative review",n/a,Disagree,"For the most part, the words were straight-forward.  There was not much in the way of sarcasm here","I looked for very negative/positive adjectives that described specific parts of the movie, focusing on bits about the movie itself - not necessarily about an actor or a disagreement with movie direction","all caps words stood out, as well as adjectives.  I noted that when an author really wanted to stress something, they tended to use adverbs as well.  Like a movie wasn't just ""terrible"".  It was ""really terrible"".  ","Sometimes words were used in the context of information about the movie's plot or history.  Sometimes reviews seemed to be a blog post for an author's remembered history.  In those cases where the words weren't directly referencing a movie, I excluded them.",N/A,"I reread the entire review, highlighting as i went.",Disagree,"I focused on the review in front of me, and what words were what told me it was good or bad.","I wasn't sure if single clicking words was different than dragging.  Like, if I single-clicked the phrase ""really bad"", would it be seen as 2 separate words instead of the whole phrase. ",35 - 44,Man,,,,,,,White or Caucasian,,,,Master's degree,,Yes,Yes,Yes,,34752,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 09:57:37,Strongly disagree,all bar one of the reviews was very clear in its opinion,the writer would state whether or not they enjoyed the film or not,"key words which were good or bad, mixed with overall feeling coming from the writer",nothing,Disagree,"nearly all reviews clearly had positive or negative words, there was little ambiguity","words which described the film overall, the viewers experience of the film, and key descriptions of particular persons roles within the film","good or bad associations/definitions, specific adjectives","in the last review the writer described the characters in the film in a number of negative ways, but as this was not the film overall or the actors I decided not to include them",nothing really,i read the review then read it again and picked out the words/phrases as I went through it,Disagree,"context is important as well as the specific definition, I didn't consider other reviews when making a decision",nothing,45 - 54,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,63365,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,,5
2021-08-20 10:03:07,Somewhat agree,"Some of the longer one's seemed to be pretty neutral, which made it hard to determine if it was positive or negative",Spotting key words that gave negative or positive connotations,All parts,"None, perhaps adding a neutral label?",Somewhat agree,As it was possible to miss certain phrases/words,Anything that gave me a negative or positive connotation,"If they were aggressive they were usually negative, positive words felt more calm",As they included the movie name/movie actors in them,None,From top to bottom,Strongly agree,As it was stated to do so above the question and in the briefing,All was good ,18 - 24,Man,,Asian,,,,,,,,,"Some college credit, no degree",,No,No,Yes,,37461,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 10:04:48,Somewhat agree,"Two of them weren't really reviews, but descriptions of films.","Reading and highlighting phrases and words that stood out i.e ""worst film ever""","Keywords, sometimes amusing comparisons, like ""torture"".",Maybe pointing out that one or two would be descriptions as opposed to reviews :),Somewhat disagree,"Easy enough, picking out phrases and words that deign something as negative or positive.",Mainly keywords - but reading whole sentences in context.,"Usually whole words like ""bad, worse"" ""good, exceptional""","The Scorsese review - the positive/negative words throughout didn't actually pertain to the film itself, just the description...",Not sure.,Searched for both positive and negative terms simultaneously.,Agree,Easier in context so that things don't get confused,N/A,25 - 34,Woman,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,I don’t know,Yes,,36215,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 10:05:57,Somewhat disagree,"Most reviews were pretty straight forward with what movie they were reviewing and how they felt about it.  However, there were a couple reviews that seemed as if they were not reviewing one specific movie and therefore it was a bit difficult to determine if they were positive or negative.",Most of the reviews made it easy to determine by using clearly positive or negative language.  Some even specifically said that they do or do not recommend the movie which made it easy to decide if they were positive or negative.,"Typically the first and last sentence described the reviewers feelings toward the film, with the body of the review giving details as to why they felt that way.",Instructions were clear but a couple reviews seemed not to be as straight forward.  Or there is the possibility that I am not intelligent enough to understand some of the language they used to represent their feelings.,Disagree,Sorry to repeat myself but most of the reviews used clear positive or negative language to describe how they felt about the movie.  Only a couple weren't as clear to me.,Reading the review and simply selecting the words that were obviously describing a negative or positive feeling was pretty straight forward.,"Clear language such as, bad, do not, worst or great, loved, interesting... made it easy most of the time to decipher how the reviewer felt about the film.",I don't think there was a time when I changed what I was selecting.  I was very decisive about the selection the first time through when selecting the words or phrases.,The instructions were very clear,I began at the beginning of the review and meticulously went through each phrase or sentence top to bottom.,Somewhat agree,Because they are overtly positive or negative regardless of what they are describing.,No issues,25 - 34,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,15065,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
2021-08-20 10:08:42,Disagree,"For most of the reviews, the people were very clear about their opinions on the films",Read the view in its entirety and paid particular attention to statements directly about the movie or actors ,positive or negative words that were about the film ,It was pretty clear,Disagree,Most reviews had strong positive or negative words,I looked for strongly positive or negative words and then determined if the words were about the quality of the film,I picked words or phrases that had strong connotations ,There was a moment in a review where the reviewer said something negative about a different film. Seeing the word at first I almost selected it automatically but when in the context of the sentence it wasn't actually saying anything negative about the film they were writing the review for. ,"I wasn't sure how to drag from the end of one line to the beginning of the next, so there were times that my highlighted phrase was split up, even when the phrase being intact was important. I think this was mostly a problem because of how the word selection worked though, and not the fault of the instructions",I'm not sure what this is asking. Chronologically? ,Agree,"The instructions said this would be for training machine learning, so I tried to provide data that would be the most helpful for that ",The phrase selection (dragging not clicking) was pretty difficult to do and there were times that a phrase got split up into multiple word selections because of line breaks ,25 - 34,Non-binary,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,I hope you have a great day,36389,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 10:09:03,Disagree,In most of the reviews it was very obvious if the review was positive or negative,"negative words - eg awful, boycott, worst film","exciting, postive words",nothing,Strongly disagree,the phrases that were negative stodd out,phrases that were negative or words that were negative.  ,the passion,"sometimes when it was a description of the costumes (the review of the batman film) i didn't include these, as i think it could have been a good film even if costumes or sets were bad",nothing,i started at the top and highlighted words as I read through the review again,Neither agree nor disagree,i didn't think about it like that,nothing,35 - 44,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,no,63986,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 10:10:09,Somewhat disagree,It was fairly easy to spot the difference between positive and negative reviews.,My thought process was to skim and scan the reviews for positive or negative words and use my initiative to decide if the words were being used correctly and in the right context.,Focused on the very beginning and the very end as the conclusion usually wraps up the review as either positive or negative.,"Nothing, the instructions very clear.",Disagree,Picking up wether or not the words used very positive or negative was fairly easy.,I selected the words that determined my decision if the review was positive or negative.,"if the word came after a negative conjunction such as ""not"" or ""no"" i considered this a negative review.",This happened when I thought there were words or phrases of higher importance for the decision.,"Nothing, everything was clear.",I re-read the review and selected them as I read. Only then unselecting the ones of lesser importance.,Disagree,I only selected words that were relevant to the review as there were some words that appeared in both positive and negative reviews. It just depends on the context of the words.,"Nothing, everything was fine.",18 - 24,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,I don’t know,Yes,,66746,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 10:14:30,Strongly disagree,The only one that was tough didn't have any specific praise language and was more of a journalistic review. Everything else pretty much said it and didn't have a lot of indecision.,"Skim through the article and check either the top or the bottom - usually one of the two would say ""worth seeing, great movie"" or ""terrible movie, don't torture yourself",First and last lines,NA,Agree,"Lengthy process, didn't want to select irrelevant words",Read through the article with my pre-selection of positive or negative and looked for phrases that supported that,If they praised or insulted the movie,"I can't recall specifically, but there were several parts I thought about including but were too lengthy or the thing that they were praising would sound bad in a non-film context - such as praising the representation of abuse.",NA,Chronological,Disagree,"There's so much more nuance in movie reviews, especiallly when dealing with tough topics.",NA,18 - 24,Woman,,,,,,,White or Caucasian,,,,"Some High School, no diploma",,No,No,Yes,,32242,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-20 10:14:43,Strongly disagree,it was very easy to determinate if review is positive or negative,reading through and focus on positive or negative words,all review,nothing,Disagree,I found it easy,once again reading and seeing positive or negative words,n/a,I didn't find it strong enough to prove me review is positive or negative ,nothing,I read text from beginning and selected words as I read,Somewhat agree,I was focused on very clear and most important words,n/a,25 - 34,Man,,,,,,,White or Caucasian,,,,"Professional degree (JD, MD)",,No,No,Yes,,46723,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Highlighting words with arrow keys.,,3
2021-08-20 10:18:28,Disagree,Reviews often contained details about why a movie was positive or negative.,I looked for action verbs and details,I looked strong opinions within the review that were detailed over more vague details or information,Sometimes movies are bad but really good and it's hard to determine if someone likes a movie because it's bad.,Agree,I was afraid of picking too many words,I chose words and phrases that were most relevant,The words provoked emotions,I wanted to select an entire sentence but was afraid to do so because the context of the entire review was important to the interpretation of the review.,n/a,I chose positive words and negative words and then continued selections based on that,Agree,It is easy to identify reviews that have facts about a movie production over feelings about past experiences or preferences,I did not encounter any errors and the interface was easy to use.  ,35 - 44,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,86979,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 10:21:52,Disagree,Easy to identify their feelings,Looked for keywords with positive or negative connotations,The tone and word usage,n/a,Disagree,Easy to identify negative or positive words,Identified the descriptive words (adjectives),adjectives primarily,If I thought it could be used in a sentence in a different manner (opposite connotation) I avoided it.,n/a,"Top to bottom, first a full read, then a second scan to highlight the words",Strongly agree,Consistency,"N/A, was simple and easy to do.",25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,81126,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-20 10:23:13,Disagree,In 9/10 reviews it was very easy to tell if a review was positive or negative because the reviews wrote in simple prose and had a clear opinion on the movie,Read the review thoroughly and look for the key words and phrases as well as overall tone,"Key words and phrases, the intro and concluding statements were helpful as well",The instructions were clear enough,Disagree,It was easy to identify the words and phrases,Again read thoroughly to make sure the words and phrases were being used in the way I thought they were intended to be,"Clearly opinionated words and phrases, use of adjectives etc","I wasn't always sure if I could highlight an entire sentence, so I focused on words and phrases only","Sometimes phrases were the entire sentence, but I was not sure if we were allowed to highlight an entire sentence so that could be more clear in the instructions",I started from the top and worked my way down the paragraph reading carefully,Disagree,Sometimes words are used differently so just highlighting words used in other reviews may not be accurate. It was important to read carefully and thoroughly to understand the intention and tone of the reviewer,"The interface was good, no improvement needed",35 - 44,Woman,,,,Hispanic or Latine,,,,,,,Bachelor's degree,,No,No,Yes,,75061,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,,6
2021-08-20 10:24:15,Neither agree nor disagree,there was only one which was hard to tell if it was positive or negative,if they said good things it was positive if they said bad things it was negative,"whether or not they liked the story, character and music",nothing,Agree,It was hard to tell what was relevant,Any word of phrase that would make you avoid or watch a film,if it was positive or negative and made sense on its own,I wasn't sure how close I was to 20% of the words,If there was a counter that told you the percentage of words you chose,I went from top to bottom then looked at them all and if I thought I had too many I would delete the ones I thought were least relevant,Neither agree nor disagree,I don't understand this question I don't think applies to my answers,a counter that told you a percentage,25 - 34,Man,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,No,Yes,,49321,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-20 10:25:14,Somewhat disagree,"Most reviews stated clearly that the movie was ""the worst"" or delightful. The more academic reviews were a little confusing, as they tended to be more informative instead of opinionated.","I read the review twice (no matter how painful that was), and I searched for key words. If the reviewer seemed to come away from the review with a feeling of contentment, I rated it positive. If the reviewer seemed discontented or bored, I rated it negatively.","The introduction and the conclusion were pretty good indicators in most reviews; however, I also looked for details that supported whether multiple elements of the movie/show used positive or negative descriptors.",The instructions were very clear.,Somewhat disagree,"I have a good vocabulary, so I was able to identify and categorize words, metaphors, and phrases as either positive or negative. ","I had to examine words in context, and sometimes that made me select a longer phrase instead of a single word (for example, ""terribly sweet"" wouldn't have needed ""terribly"" highlighted if it was a positive review overall). I also did not highlight repeated descriptors (such as ""terrible"" used two or three times) in the review. ","I selected words that didn't persuade me to see the film or that were obviously ""bad"" as negative. Words that gave me hope were generally highlighted as positive.",I chose not to include the analogy of a bug being smooshed by a newspaper because it was a rather long phrase and an analogy that would likely be rarely used in describing movie reviews.,The instructions were clear.,"I read the review first to determine the positive or negative tone. Next, I read it again and clicked on the words or phrases that supported that tone.",Agree,"Since the purpose of the study was to help AI learn, I tried to focus on helping AI learn. Context is extremely important, though.","This was a great, easy, fun study. No problems at all.",45 - 54,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,38161,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 10:26:30,Strongly disagree,"Most reviews were to the point either showing interest or dislike of the movie, with the exception of one.",I simply read what was said about the film and could understand how the person felt by their words.  It is easy to see if they are speaking favorable or negative about it.,"The persons tone, the words they used and how passionate they were either negative or favorable.",The instructions were very clear.,Strongly disagree,Very simple to pick out what was said either negativly or positive about the film.,"I looked for words that were either negative or positive.  Words such as love, like etc. would lead me to believe it was a positive review.  Words like hate, poorly, etc would lead me to believe it was a negative reiview.","The meaning behind a word such as love, this would be important to me showing it is favorable or a word such as hate, this would show me it was negative.","Some phrases were too long and drawn out to be selected and many words simply didn't seem ""strong"" enough to be used to show negativity or positivity.",The instructions were clear.,"There was really no ""order"" per se, I simply chose the words and phrases that I felt fit what I believed the review to be.",Neither agree nor disagree,Every review was written by a different person who chose their own style and wording.  Yes some words could be the same however I looked for any word that reflected my choice.,"No problem with the interface, it worked perfectly for me.",55 - 64,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,63635,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Select words or phrases that suggest that the movie review is either positive or negative.
 Classify a movie review as positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 10:27:44,Strongly disagree,the language used in each review was on the whole clear with strong opinions voiced by the authors. With exception the review of the martin Svorcese review. That was more descriptive with less emotional content making it harder to assess,"read it through, noted adjectives, general tone and of course emotions. i ignored the descriptions of the content of the actual film, the story, that was irrelevant to my assessment","emotions, adjectives, the descriptions widely relating to the movie as a whole rather than specific scenes or actors",nothing it was very clear,Strongly disagree,i found the task easy,i simply selected general comments giving a clear opinion on the overall movie not on actors/scenes/film content,as per my previous comments ,"i ignored words that were positive or negative but simply related to an individual part of the film, a them, an actor etc  ",nothing it was very clear,i started at the top of the paragraph after i had read it. After my first reading i decided if i felt the overall review was positive or negative then went back to select the words / phrases that assisted me to reach that conclusion,Somewhat agree,negative statements such as those saying the film was rubbish or avoid are very clear and stand alone. ,"nothing, no issues at all.  i enjoyed it thank you",45 - 54,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,61619,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 10:28:01,Disagree,It was mostly obvious by the tone and language used.,Look for key words that were clearly positive or negative.,The tone used in the text.,"Nothing, it was clear anyway.",Disagree,Most of the examples were pretty obvious.,Self-explanatory when the text used words like 'hate' or 'love/like',Knowing which words were postive/negative.,There was one review which described what happened but didn't use any positive or negative words/phrases so I wasn't sure what to do.,n/a,I looked for the obvious words first like hate/love/like etc.,Disagree,Different people used different words to express themselves.,Nothing.,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,45974,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,Tapping the words if your computer is touchscreen.,4
2021-08-20 10:28:03,Disagree,quite easy to understand the direction of the review ,finding negative words,the language ,no,Disagree,finding the words was easy,negative/postive connotations ,descriptive words,"negative words, I might have selected too many words ",nothing ,I chose the words that were clearly negative or positive ,Agree,because otherwise I would have caused confusion ,nothing ,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,63899,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 10:29:15,Strongly disagree,"one of them was slightly harder to work out, but the rest were totally obvious.","The tone, the words, whether it was complementary or disparaging.",All of it - I read each one detail first.,You could have said how many phrases to choose - all relevant ones or just the absolute main ones,Somewhat agree,I didn't know how many to choose and whether the longer phrases should go in or not.,"If they were key descriptors, such as brilliant or terrible. If they gave good insight into the movie quality. If they elaborated on why it's good/bad",Its descriptive nature and whether it conveyed accurately whether the film was good or bad and why.,"I didn't choose a phrase if it was too long, not relevant to this film or if it was repeating a similar aspect as another one I did use.",It was clear.,I worked from the top.,Somewhat agree,"This applied to some phrases and words, but not others. It does of course depend on the context of the remarks.","When selecting good or bad, the next page stayed scrolled down, so I had to scroll up to the top to start marking it.",45 - 54,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,,73565,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 10:33:32,Disagree,"The words ,made it easy to decide if it was positive or negative",I  read them and looked for key negative or positive reviews ,The beginning and the end,Nothing they were clear,Disagree,Once you identified positive or negative words it pretty much summed up the review ,I looked for positive and or negative words that would help the reader decide,Weather they embodied positivity or negativity ,n/a,Nothing they were clear,I started from the top and selected the words that most closely matched  the review choice and worked my way through to the bottom ,Strongly agree,I thought that was the idea of the exercise,None,25 - 34,Woman,,,Black or African American,,,,,,,,"Some college credit, no degree",,Yes,No,Yes,,87631,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 10:34:51,Somewhat agree,"Because some were descriptive, not positive or negative. ","Some were obvious, but if they were just descriptive then i figured they weren't negative, so by default were positive.","All of it, but mostly the language used and if it was recommended or not.","It would have been good to have a neutral review category, but otherwise the instructions were clear.",Somewhat agree,"There's a bit of sarcasm in some of the reviews, so it's not easy to highlight a word when it's being used as an opposite.",I selected positive words for positive reviews and negative words for negative ones.,If it was telling you to watch it or not watch it.,Sometimes it wouldn't have made sense out of the context of the whole review.,Nothing,I just went down the text in order and highlighted anything that made sense ,Agree,Because some were film specific or might not have meant the same out of context,"Would have been good to do the highlighting when reading the review. Some were obviously negative or positive from the beginning, but I had to go through the text twice.",35 - 44,Woman,,,,,,,White or Caucasian,,,,Doctorate degree,,No,No,Yes,,13148,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
